case;specid;latname;name;coordx;coordy;AQ;AQ.coordx;AQ.coordy;elev;rlength;nsurvey;forest;count041;count042;count043;count051;count052;count053;count061;count062;count063;count071;count072;count073;count081;count082;count083;count091;count092;count093;count101;count102;count103;count111;count112;count113;count121;count122;count123;count131;count132;count133;date041;date042;date043;date051;date052;date053;date061;date062;date063;date071;date072;date073;date081;date082;date083;date091;date092;date093;date101;date102;date103;date111;date112;date113;date121;date122;date123;date131;date132;date133;dur041;dur042;dur043;dur051;dur052;dur053;dur061;dur062;dur063;dur071;dur072;dur073;dur081;dur082;dur083;dur091;dur092;dur093;dur101;dur102;dur103;dur111;dur112;dur113;dur121;dur122;dur123;dur131;dur132;dur133;obs2004;obs2005;obs2006;obs2007;obs2008;obs2009;obs2010;obs2011;obs2012;obs2013
1332;3860;PARPAL;Marsh tit;1234942;127276;237;1230942;240724;1850;4.7;3;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;68;84;57;71;80;56;63;75;51;72;85;51;64;79;51;66;79;45;62;76;49;77;90;48;64;85;52;70;87;300;300;330;330;300;300;315;300;300;300;300;315;300;255;315;300;300;300;300;300;300;300;300;300;300;360;330;300;340;270;49;49;49;49;49;49;49;49;49;49
1333;3860;PARPAL;Marsh tit;1240942;135276;238;1240942;250724;2450;4.4;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;87;NA;85;95;NA;81;88;NA;69;79;NA;71;84;NA;70;80;NA;86;93;NA;77;78;NA;63;76;NA;77;88;NA;238;222;NA;255;238;NA;303;235;NA;282;304;NA;285;275;NA;238;237;NA;296;243;NA;207;253;NA;220;212;NA;190;188;NA;36;36;36;36;36;36;36;36;210;210
1334;3860;PARPAL;Marsh tit;1246942;135276;240;1250942;250724;1850;5.6;3;69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;59;69;47;54;83;47;58;71;50;61;78;45;59;72;47;57;79;50;65;76;52;63;77;48;55;77;39;52;76;320;296;258;300;285;280;317;305;275;310;305;296;305;315;295;307;313;317;308;297;302;295;295;307;354;332;343;322;303;367;36;36;36;36;36;36;36;36;183;183
1335;3860;PARPAL;Marsh tit;1252942;111276;239;1250942;220724;1850;6.2;3;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47;66;89;51;67;77;58;69;83;52;64;75;53;63;89;53;67;80;50;63;77;52;68;86;66;70;91;51;74;86;330;330;335;310;300;360;320;315;300;330;300;300;300;330;330;310;330;300;300;300;300;300;330;300;420;520;360;300;315;315;49;49;49;49;49;49;49;49;49;49
1336;3870;PARMON;Willow tit;922942;63276;1;920942;170724;450;6.4;3;3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;28;51;74;35;52;73;19;56;65;20;46;54;25;44;55;19;33;55;19;39;54;22;37;59;63;70;78;18;41;63;240;300;300;300;240;300;300;300;300;230;300;280;225;255;245;265;290;275;280;280;280;240;210;240;160;170;155;195;220;230;60;60;60;145;145;128;128;58;353;364
1337;3870;PARMON;Willow tit;928942;79276;2;930942;190724;450;5.5;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;38;59;20;35;65;15;28;55;19;50;56;20;41;69;24;32;51;16;43;53;23;36;65;20;47;57;13;49;62;175;155;165;170;170;170;180;170;170;180;180;180;185;190;180;185;180;200;180;220;190;180;170;179;190;190;180;201;215;190;144;144;144;144;144;144;144;144;144;144
1338;3870;PARMON;Willow tit;928942;103276;3;930942;210724;1050;4.3;3;32;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;2;3;5;2;2;1;1;0;3;1;2;1;3;1;25;60;95;24;59;87;23;62;90;22;55;62;32;62;83;30;58;71;29;43;90;17;44;65;26;44;70;26;58;75;215;185;195;210;195;165;180;190;165;175;195;175;195;180;175;165;215;195;190;185;300;195;135;240;150;195;210;210;210;210;318;318;318;318;318;128;128;113;74;74
1339;3870;PARMON;Willow tit;934942;95276;3;930942;210724;950;4.5;3;9;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;24;54;74;22;60;76;22;57;78;22;49;71;20;62;76;15;33;75;17;33;54;31;37;59;29;42;56;13;35;63;180;180;180;180;180;180;240;240;240;300;255;240;160;205;180;245;210;260;160;170;150;165;175;170;180;195;190;175;175;165;123;123;123;3;365;365;287;287;287;287
1340;3870;PARMON;Willow tit;934942;111276;4;930942;220724;1150;5.4;3;35;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;48;69;28;51;73;23;42;70;15;43;61;27;45;69;23;42;69;26;47;73;18;44;68;27;47;68;24;45;66;180;200;205;180;195;260;190;180;210;180;215;210;200;195;210;170;180;210;210;210;255;205;205;205;200;180;210;235;170;220;113;113;113;113;113;113;113;113;113;113
1341;3870;PARMON;Willow tit;946942;95276;5;950942;210724;550;3.6;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;27;55;64;27;39;55;29;40;52;21;40;49;18;35;53;31;39;53;17;37;52;28;36;65;28;41;58;31;44;68;300;240;205;195;225;215;220;200;210;200;200;195;270;240;240;225;210;195;180;195;250;135;135;150;115;130;150;120;135;120;322;322;322;322;322;322;322;269;269;269
1342;3870;PARMON;Willow tit;946942;111276;6;950942;220724;750;3.9;3;6;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;20;48;55;22;43;69;29;52;65;21;53;65;27;52;81;17;47;76;15;39;59;18;42;64;17;37;66;14;45;66;215;215;195;165;155;170;150;135;180;150;210;135;135;150;150;120;180;180;150;165;180;150;180;180;180;195;195;195;255;165;111;128;74;74;74;74;74;74;74;74
1343;3870;PARMON;Willow tit;952942;119276;7;950942;230724;650;6.1;3;60;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;53;75;22;41;69;24;54;69;37;50;66;16;36;51;15;43;78;16;49;68;15;49;65;25;38;68;37;57;73;200;205;165;210;180;200;200;180;195;210;210;190;195;225;210;210;215;295;240;240;165;180;180;165;240;210;195;210;210;180;150;150;150;150;150;44;74;74;74;74
1344;3870;PARMON;Willow tit;958942;111276;9;960942;220724;550;5.8;3;5;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;48;67;23;49;65;23;44;66;29;43;57;27;40;61;30;47;61;17;38;52;16;30;44;26;47;70;18;41;56;135;130;135;150;120;135;240;210;230;205;255;180;190;180;190;165;195;180;220;190;180;190;195;185;195;170;210;185;205;170;74;74;173;173;174;174;174;174;174;174
1345;3870;PARMON;Willow tit;958942;127276;10;960942;240724;550;4.5;3;13;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;44;70;21;36;70;21;40;68;20;40;61;25;43;66;21;58;73;21;53;77;22;41;72;24;32;66;29;58;68;150;145;150;165;180;175;150;180;200;180;185;195;180;160;150;180;190;165;160;140;145;155;160;145;225;200;205;220;215;225;137;137;137;137;137;259;259;259;271;271
1346;3870;PARMON;Willow tit;958942;143276;11;960942;250724;1150;3.8;3;50;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;1;3;3;3;2;2;0;26;49;58;29;42;63;33;58;75;14;40;52;36;53;72;23;37;73;21;46;59;23;36;59;33;49;63;25;53;75;190;180;195;245;255;255;250;220;235;230;220;195;245;245;240;235;245;230;250;260;230;225;255;210;225;240;230;180;240;220;111;313;313;313;313;313;313;313;313;313
1347;3870;PARMON;Willow tit;964942;103276;8;960942;210724;750;7.7;3;57;NA;NA;NA;1;2;1;0;3;1;1;2;2;2;1;0;0;1;3;0;0;1;3;1;4;1;1;3;2;1;1;18;41;60;14;31;52;20;58;81;21;57;71;32;59;86;24;62;84;24;67;85;17;54;79;29;47;75;17;37;69;250;255;270;215;248;245;210;240;240;240;225;240;255;210;210;225;225;225;210;180;180;185;210;255;240;170;210;225;220;210;8;8;302;302;302;302;302;302;302;191
1348;3870;PARMON;Willow tit;964942;135276;11;960942;250724;1250;1.9;3;84;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;54;68;29;57;64;40;55;83;49;66;85;44;57;80;47;62;75;53;66;76;37;56;76;41;57;77;44;67;74;120;125;125;225;225;225;180;180;195;170;165;167;150;180;150;150;150;150;125;150;120;130;135;135;120;135;120;135;130;85;146;146;146;146;146;146;146;146;146;146
1349;3870;PARMON;Willow tit;970942;95276;12;970942;210724;750;7.9;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;45;55;22;41;59;22;55;73;18;52;65;26;41;76;15;42;77;33;66;82;20;43;56;29;37;50;13;26;72;305;300;315;295;275;315;300;270;240;300;280;255;324;315;346;275;275;280;265;240;235;285;290;200;150;215;185;215;155;200;203;203;203;203;193;44;288;230;230;230
1350;3870;PARMON;Willow tit;970942;127276;13;970942;240724;450;4.4;3;17;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;56;67;22;51;73;15;52;72;15;43;63;20;34;69;19;45;74;17;46;66;16;38;65;28;47;63;18;42;68;240;205;205;230;230;210;225;210;195;230;210;210;205;210;220;225;230;220;200;210;210;180;180;180;220;190;200;185;200;195;1;1;171;171;171;171;171;171;171;1
1351;3870;PARMON;Willow tit;970942;159276;14;970942;270724;1050;6;3;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;53;67;71;31;45;58;29;48;71;16;43;56;27;42;61;33;40;61;46;52;66;17;26;62;28;45;57;17;41;69;170;150;140;145;145;139;140;120;140;135;160;145;165;160;140;130;135;130;135;135;135;180;150;120;160;145;128;265;255;250;284;284;284;284;284;284;284;284;284;345
1352;3870;PARMON;Willow tit;976942;119276;19;980942;230724;750;6.2;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;46;83;39;67;81;26;67;87;26;49;70;17;45;85;25;40;73;27;53;77;24;48;74;25;40;68;13;35;69;170;155;175;170;160;175;190;210;180;230;230;220;220;220;200;190;180;210;190;195;185;190;210;185;190;205;230;195;185;240;288;288;288;288;288;288;288;288;288;288
1353;3870;PARMON;Willow tit;976942;151276;21;980942;260724;1250;6.1;3;32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;41;60;74;29;54;75;34;58;73;36;67;80;27;57;75;25;47;75;25;52;66;23;37;59;33;58;70;31;59;74;280;300;310;285;300;315;270;285;285;255;340;285;290;310;270;255;285;300;270;295;320;290;255;255;240;260;280;215;240;245;158;158;158;158;158;158;158;158;158;158
1354;3870;PARMON;Willow tit;982942;63276;15;980942;170724;1250;4.5;3;66;NA;NA;NA;0;0;0;5;1;1;5;6;0;6;4;1;0;0;0;1;2;1;3;1;1;0;0;0;1;3;0;33;58;75;37;51;72;27;47;75;24;53;73;30;53;74;32;52;73;24;55;74;36;56;76;57;67;78;37;57;72;100;100;95;125;120;125;225;255;255;255;255;240;255;240;270;240;255;225;300;310;330;325;330;340;315;220;300;225;220;235;187;187;137;137;137;137;44;44;239;256
1355;3870;PARMON;Willow tit;982942;79276;16;980942;190724;350;6.2;3;45;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;45;73;23;52;66;16;43;58;22;49;62;19;47;73;18;46;62;17;38;69;17;44;58;35;50;70;18;34;56;180;195;180;180;240;220;165;185;195;180;195;210;165;180;190;165;165;165;165;180;180;150;165;165;160;160;150;180;180;180;277;277;277;277;277;277;277;277;277;277
1356;3870;PARMON;Willow tit;982942;95276;17;980942;210724;750;4.1;3;44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;3;0;1;0;0;0;1;1;2;0;0;1;23;40;57;15;29;50;17;29;50;19;26;54;25;42;75;18;38;60;29;51;75;15;35;60;30;45;76;13;24;69;195;180;210;190;200;195;240;315;235;240;240;240;244;244;215;210;210;200;150;180;180;300;265;180;195;195;210;180;210;165;7;7;118;118;193;137;227;341;302;302
1357;3870;PARMON;Willow tit;982942;111276;18;980942;220724;750;4.5;3;9;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;27;40;62;33;68;85;18;46;78;25;41;82;21;47;71;15;49;72;25;47;71;26;45;71;14;42;72;NA;NA;NA;180;180;170;170;190;165;220;190;180;180;185;165;160;145;125;170;165;165;170;170;155;130;120;165;130;135;164;NA;170;288;288;288;288;288;288;288;288
1358;3870;PARMON;Willow tit;982942;127276;20;980942;240724;550;6.9;3;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;51;74;30;51;73;29;51;74;22;50;71;26;48;74;30;49;68;28;54;76;16;45;65;22;43;68;30;54;68;255;285;285;270;295;300;235;240;255;250;245;200;300;285;240;210;245;240;210;220;225;225;255;270;210;160;190;165;160;165;191;191;191;191;191;191;191;191;191;191
1359;3870;PARMON;Willow tit;988942;71276;23;990942;180724;350;4.7;3;8;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;52;62;22;49;57;30;44;65;15;36;66;20;48;69;25;39;51;30;49;65;16;36;56;27;46;67;26;47;64;135;155;140;145;140;145;125;125;125;135;135;125;185;145;125;115;140;135;135;140;135;200;185;150;169;165;190;165;127;202;40;40;40;40;40;40;40;341;341;341
1360;3870;PARMON;Willow tit;988942;87276;24;990942;200724;1350;3.7;3;78;NA;NA;NA;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;6;1;1;0;2;2;3;1;0;2;0;2;49;70;79;56;66;71;43;72;90;40;69;81;44;73;86;49;69;91;47;70;98;42;71;90;50;75;82;66;78;86;305;285;275;235;235;230;240;210;240;275;260;255;270;315;270;280;285;265;255;270;240;265;245;300;185;225;225;205;222;200;314;314;302;339;339;339;339;339;121;121
1361;3870;PARMON;Willow tit;988942;151276;28;990942;260724;550;5.7;3;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;32;53;31;56;78;15;45;69;14;28;54;25;45;66;18;40;61;22;49;62;18;34;58;17;43;53;25;45;64;240;225;180;210;210;225;195;150;210;180;195;240;210;225;255;195;165;185;300;300;270;270;270;270;255;240;285;285;390;285;142;142;142;142;142;218;150;150;150;150
1362;3870;PARMON;Willow tit;988942;167276;29;990942;280724;1150;4;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;24;47;56;41;55;76;41;65;76;26;52;67;36;58;71;36;55;71;26;50;67;23;58;90;34;60;76;63;84;100;180;225;210;195;220;215;185;165;190;170;175;185;165;165;180;180;180;210;170;180;180;210;175;120;170;165;150;150;120;120;111;205;205;205;205;150;227;239;239;239
1363;3870;PARMON;Willow tit;994942;63276;22;990942;170724;1450;6.6;3;54;6;2;2;3;3;0;9;3;0;5;7;3;10;5;4;11;10;5;3;2;4;4;3;3;2;0;2;1;2;2;42;68;86;32;69;86;33;65;77;27;55;75;32;58;75;37;59;76;27;48;69;37;56;71;58;75;83;50;77;86;195;195;210;240;250;240;270;255;225;240;255;270;255;240;245;270;255;195;285;240;255;225;255;255;240;270;270;255;255;240;137;137;137;137;137;137;74;74;74;74
1364;3870;PARMON;Willow tit;994942;111276;25;990942;220724;950;4.3;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;46;85;31;55;74;24;50;77;14;39;65;21;41;75;18;39;69;29;51;74;27;53;75;21;48;75;18;63;76;95;130;115;140;120;100;135;130;125;190;160;170;140;140;140;125;120;115;130;130;120;105;145;125;120;110;110;140;115;120;288;288;288;288;288;288;288;288;288;288
1365;3870;PARMON;Willow tit;994942;127276;26;990942;240724;650;4.7;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;49;60;26;40;62;25;46;67;17;33;54;36;44;57;15;33;54;19;42;56;16;32;59;17;40;53;15;44;57;312;238;263;290;255;285;255;255;245;248;259;245;255;255;250;236;234;226;233;220;196;260;232;265;299;269;265;191;231;238;276;276;276;276;276;276;276;276;276;276
1366;3870;PARMON;Willow tit;994942;143276;27;990942;250724;550;4.9;3;27;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;60;87;30;44;50;18;26;42;18;33;50;17;37;49;23;37;49;24;31;67;17;39;55;27;50;59;22;48;67;300;300;300;285;300;285;165;150;180;180;215;210;165;180;190;220;180;220;195;60;220;190;195;180;175;215;205;210;220;230;177;177;20;20;20;20;20;20;20;20
1367;3870;PARMON;Willow tit;994942;191276;30;990942;300724;850;5.3;3;56;1;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1;0;0;27;46;77;22;42;71;29;57;71;25;51;66;35;53;70;31;47;64;29;54;72;31;49;66;26;43;71;23;44;68;300;310;310;240;245;225;285;270;270;240;260;255;240;255;265;215;240;245;220;240;245;285;210;240;225;225;240;225;165;240;94;153;211;205;205;205;205;212;212;212
1368;3870;PARMON;Willow tit;1000942;39276;40;1000942;150724;1250;5.6;3;66;16;8;11;13;8;4;11;9;8;11;8;7;9;6;5;11;4;6;6;3;6;5;8;4;8;6;2;6;5;1;26;54;85;29;55;82;25;47;83;25;39;83;36;53;81;24;53;83;21;56;82;19;50;71;34;54;83;24;50;72;220;220;210;200;200;200;320;220;230;220;230;195;255;210;190;185;190;265;215;230;200;210;210;200;180;200;190;185;210;225;120;120;120;120;120;120;120;120;120;120
1369;3870;PARMON;Willow tit;1000942;55276;31;1000942;170724;450;6.7;3;5;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;43;64;14;33;68;19;34;66;18;38;56;16;31;70;17;36;58;15;43;64;15;44;60;17;40;60;13;28;63;215;225;250;225;240;255;210;255;255;240;240;255;210;240;225;215;270;240;290;275;285;240;300;275;290;260;270;210;230;205;137;137;137;137;137;137;81;233;81;359
1370;3870;PARMON;Willow tit;1000942;87276;32;1000942;200724;1250;4;3;51;NA;NA;NA;4;4;3;3;2;5;11;6;3;7;2;7;4;4;12;3;2;0;5;3;3;5;5;5;1;4;3;34;57;85;29;43;78;26;46;74;25;52;72;28;52;71;30;50;69;27;62;77;34;43;50;26;33;73;36;44;52;210;225;210;210;240;240;220;255;255;240;225;210;200;210;225;195;210;225;210;210;240;270;360;330;255;255;280;260;235;240;137;137;137;137;137;137;227;101;271;358
1371;3870;PARMON;Willow tit;1000942;103276;33;1000942;210724;1150;5.1;3;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;0;0;2;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;41;60;78;31;72;87;26;47;81;13;50;69;41;60;82;32;59;89;60;64;94;25;58;92;47;56;63;26;60;77;300;320;335;320;325;335;255;270;270;285;295;200;255;230;225;195;195;205;195;195;180;210;195;180;325;315;330;255;280;220;27;27;27;206;290;290;290;290;355;355
1372;3870;PARMON;Willow tit;1000942;119276;34;1000942;230724;750;6.5;3;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;16;42;63;32;39;61;32;41;66;15;31;51;35;43;53;24;32;69;21;46;55;15;38;48;28;41;59;16;37;67;466;365;401;420;385;385;325;365;405;363;352;386;420;400;420;336;370;354;352;437;404;378;377;400;362;336;379;255;310;333;276;276;276;276;276;276;276;276;276;276
1373;3870;PARMON;Willow tit;1000942;135276;35;1000942;250724;550;5.2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;53;76;28;40;54;19;46;70;18;57;73;17;31;42;29;49;74;16;36;64;17;38;66;15;36;76;14;48;63;105;95;85;110;100;90;90;90;105;85;105;90;165;140;140;110;105;95;105;105;105;145;150;150;150;155;135;140;150;150;132;132;132;132;129;132;227;244;244;244
1374;3870;PARMON;Willow tit;1000942;151276;36;1000942;260724;450;5.5;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;21;41;64;23;35;55;22;47;50;15;43;53;25;46;52;25;40;47;18;46;51;17;38;48;15;45;56;14;49;55;140;125;155;155;155;135;NA;NA;NA;140;145;135;115;160;120;140;130;150;210;175;145;155;185;150;120;150;135;210;170;145;286;286;286;286;286;286;286;286;286;286
1375;3870;PARMON;Willow tit;1000942;167276;37;1000942;280724;1250;5.6;3;52;0;0;0;3;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;34;55;80;41;55;79;47;58;71;26;49;66;33;58;80;37;51;62;48;65;84;28;42;58;40;55;70;41;59;69;187;226;195;225;205;250;190;180;195;205;255;195;210;210;210;195;290;192;210;225;230;200;165;210;200;250;195;195;210;240;138;138;138;128;128;138;227;138;138;138
1376;3870;PARMON;Willow tit;1000942;183276;38;1000942;290724;950;4.5;3;38;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;21;42;57;37;55;69;22;54;77;17;54;67;26;51;72;22;54;74;24;53;70;20;50;76;27;57;74;17;57;69;220;240;250;195;210;210;220;200;215;220;190;200;210;220;210;210;195;225;200;220;195;210;230;210;210;225;245;220;230;210;296;296;296;296;296;296;296;296;296;296
1377;3870;PARMON;Willow tit;1000942;199276;39;1000942;310724;550;3.9;3;49;NA;NA;NA;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;26;42;66;30;57;72;52;65;76;14;40;64;15;42;63;15;41;66;15;48;65;30;48;68;29;47;64;14;37;49;255;180;180;255;195;180;165;180;180;210;210;215;205;220;230;200;195;210;215;210;210;135;150;150;195;195;210;175;150;145;106;106;106;44;44;44;44;212;227;260
1378;3870;PARMON;Willow tit;1006942;31276;51;1010942;140724;1850;5.3;2;15;2;4;NA;NA;NA;NA;NA;NA;NA;5;3;NA;1;0;NA;0;2;NA;1;1;NA;8;11;NA;1;1;NA;0;0;0;58;82;NA;58;72;NA;65;72;NA;67;85;NA;70;92;NA;49;59;NA;62;96;NA;53;71;NA;57;78;NA;45;65;NA;320;320;NA;360;330;NA;340;340;NA;280;285;NA;190;180;NA;225;225;NA;240;240;NA;270;270;NA;275;285;NA;230;230;NA;94;35;35;35;187;314;74;145;350;256
1379;3870;PARMON;Willow tit;1006942;39276;52;1010942;150724;1950;4.8;3;62;NA;NA;NA;1;1;0;1;2;2;9;6;4;5;3;5;2;7;4;NA;NA;NA;4;12;0;2;6;8;1;0;0;58;68;76;63;70;77;68;72;80;33;53;80;53;66;80;58;71;87;65;85;98;60;76;90;70;79;104;57;82;92;270;290;195;240;235;150;135;235;170;255;240;230;250;240;270;240;315;260;307;310;290;307;283;289;274;238;182;204;191;175;314;314;314;128;128;157;261;261;261;261
1380;3870;PARMON;Willow tit;1006942;63276;42;1010942;170724;1050;3.6;3;82;2;7;6;3;6;1;5;1;4;5;3;1;6;3;1;2;1;9;5;2;1;0;0;1;3;6;3;2;0;2;15;31;65;27;41;76;18;42;67;17;38;68;25;50;72;22;43;73;16;43;75;24;58;88;29;43;50;31;50;86;145;150;165;160;165;145;155;170;175;165;165;150;155;145;135;160;150;120;150;140;135;170;180;180;230;275;225;220;205;220;120;120;120;120;120;120;120;248;248;248
1381;3870;PARMON;Willow tit;1006942;80276;44;1010942;190724;2050;4.7;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;80;NA;66;73;NA;72;79;NA;70;77;NA;69;75;NA;74;81;NA;55;66;NA;55;59;NA;75;79;NA;87;96;NA;110;195;NA;265;235;NA;255;240;NA;255;255;NA;285;265;NA;260;225;NA;255;265;NA;285;275;NA;285;255;NA;260;290;NA;281;281;281;281;281;281;281;281;281;281
1382;3870;PARMON;Willow tit;1006942;95276;46;1010942;210724;1250;6;3;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;1;2;0;0;5;0;1;2;4;2;2;3;0;0;1;0;28;49;70;30;49;72;23;47;70;14;31;71;20;42;70;20;51;69;17;47;67;21;37;63;19;47;71;41;67;75;200;220;200;240;240;220;210;245;225;195;225;210;195;220;190;190;185;220;210;195;205;145;185;185;190;195;185;285;285;270;121;121;121;121;121;121;121;121;121;198
1383;3870;PARMON;Willow tit;1006942;175276;50;1010942;290724;750;6.3;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;54;68;28;56;73;40;49;70;14;40;60;28;49;71;22;59;73;29;54;72;32;50;76;27;49;68;24;43;66;180;225;195;225;225;195;225;195;225;210;195;195;225;252;225;225;220;215;225;225;225;225;195;195;200;200;195;210;223;250;150;150;150;150;150;150;150;65;65;65
1384;3870;PARMON;Willow tit;1012942;47276;41;1010942;160724;2250;3.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;114;NA;90;103;NA;73;85;NA;54;81;NA;72;86;NA;75;92;NA;66;74;NA;64;80;NA;77;98;NA;93;102;NA;255;215;NA;235;220;NA;225;200;NA;220;200;NA;250;255;NA;265;255;NA;255;225;NA;270;270;NA;260;260;NA;275;195;NA;94;94;128;128;35;35;35;35;35;256
1385;3870;PARMON;Willow tit;1012942;55276;42;1010942;170724;1750;4.1;3;58;NA;NA;NA;6;1;4;8;7;2;14;7;8;13;3;5;10;6;9;12;6;7;11;9;9;12;3;5;5;2;6;48;79;91;42;71;81;32;67;80;42;65;78;38;73;86;42;64;86;47;64;83;33;55;75;48;68;83;44;64;74;100;105;90;120;125;120;165;120;115;130;120;115;185;130;150;145;120;135;135;115;125;145;125;125;130;140;130;150;130;120;48;48;71;71;71;71;71;71;71;71
